,pattern,frequency
421,"('Ebmaj', 'Fmaj', 'Gmaj', 'Bbmaj')",1
422,"('Fmaj', 'Gmaj', 'Bbmaj', 'Fmaj')",1
423,"('Gmaj', 'Bbmaj', 'Fmaj', 'Fmin')",1
424,"('Bbmaj', 'Fmaj', 'Fmin', 'Gmaj')",1
400,"('Dmaj', 'Gmin', 'Cmaj', 'Dmin')",1
398,"('Cmaj', 'Dmin', 'Cmaj', 'Dmaj')",1
396,"('Fmaj', 'Cmaj', 'Bbmaj', 'Cmaj')",1
395,"('Cmin', 'Bbmaj', 'Fmaj', 'Gmaj')",1
388,"('Cmaj', 'Gmaj', 'Cmaj', 'Dmin')",1
386,"('Amin', 'Dmin', 'Amin', 'Dmin')",1
384,"('Emaj', 'Amaj', 'Fmaj', 'Amaj')",1
382,"('Ebmaj', 'Fmaj', 'Gmaj', 'Cmaj')",1
381,"('Gmaj', 'Dmaj', 'Ebmaj', 'Fmaj')",1
380,"('Fmaj', 'Gmaj', 'Dmaj', 'Ebmaj')",1
379,"('Ebmaj', 'Fmaj', 'Gmaj', 'Dmaj')",1
377,"('Bbmaj', 'Fmaj', 'Dmaj', 'Ebmaj')",1
371,"('Bbmaj', 'Fmaj', 'Bbmin', 'Fmaj')",1
370,"('Fmaj', 'Bbmaj', 'Fmaj', 'Bbmin')",1
369,"('Dmaj', 'Gmin', 'Dmin', 'Dmaj')",1
368,"('Dmin', 'Dmaj', 'Gmin', 'Dmin')",1
367,"('Dmaj', 'Amaj', 'Dmaj', 'Dmin')",1
814,"('Amaj', 'Cmaj', 'Bbmaj', 'Dmin')",1
