,pattern,frequency
560,"('Amin', 'Gmaj', 'Fmaj', 'Dmaj')",3
60,"('Fmaj', 'Cmaj', 'Gmaj', 'Amin')",2
311,"('Ebmaj', 'Fmaj', 'Gmin', 'Cmaj')",2
309,"('Fmaj', 'Gmin', 'Cmaj', 'Ebmaj')",2
553,"('Amin', 'Fmaj', 'Cmaj', 'Dmin')",2
785,"('Fmaj', 'Dmin', 'Bbmaj', 'Cmaj')",2
550,"('Abmaj', 'Bbmaj', 'Fmaj', 'Gmaj')",2
61,"('Cmaj', 'Gmaj', 'Amin', 'Fmaj')",2
67,"('Bbmaj', 'Gmaj', 'Amin', 'Gmaj')",2
606,"('Dmaj', 'Emaj', 'Dmaj', 'Cmaj')",2
313,"('Bbmaj', 'Gmaj', 'Abmaj', 'Gmaj')",2
168,"('Amin', 'Bmaj', 'Emin', 'Gmaj')",2
777,"('Fmaj', 'Gmaj', 'Dmaj', 'Amin')",2
297,"('Fmaj', 'Amin', 'Fmaj', 'Gmaj')",2
767,"('Cmaj', 'Dmin', 'Bbmaj', 'Cmaj')",2
276,"('Bbmaj', 'Dmin', 'Bbmaj', 'Cmaj')",2
497,"('Cmaj', 'Fmaj', 'Cmaj', 'Amin')",2
561,"('Dmin', 'Amin', 'Amaj', 'Fmaj')",2
770,"('Dmaj', 'Amin', 'Gmaj', 'Dmaj')",2
167,"('Bmaj', 'Emin', 'Amin', 'Bmaj')",2
84,"('Fmaj', 'Abmaj', 'Fmaj', 'Abmaj')",2
430,"('Gmaj', 'Gmin', 'Fmaj', 'Gmaj')",2
285,"('Bbmaj', 'Cmaj', 'Bbmaj', 'Fmaj')",2
286,"('Cmaj', 'Bbmaj', 'Fmaj', 'Dmin')",2
613,"('Gmaj', 'Cmaj', 'Fmaj', 'Amin')",2
290,"('Fmaj', 'Bbmaj', 'Cmaj', 'Dmin')",2
77,"('Gmaj', 'Gmin', 'Gmaj', 'Ebmaj')",2
75,"('Gmaj', 'Ebmaj', 'Gmaj', 'Ebmaj')",2
74,"('Cmaj', 'Gmaj', 'Ebmaj', 'Gmaj')",2
774,"('Gmaj', 'Amin', 'Gmaj', 'Dmaj')",2
658,"('Cmaj', 'Emin', 'Amaj', 'Emin')",2
46,"('Amin', 'Emaj', 'Amin', 'Fmaj')",2
624,"('Gmaj', 'Cmaj', 'Gmin', 'Amin')",2
359,"('Dmaj', 'Fmaj', 'Gmaj', 'Amin')",2
360,"('Bbmaj', 'Dmin', 'Gmaj', 'Bbmaj')",2
363,"('Dmin', 'Dmaj', 'Dmin', 'Gmaj')",2
364,"('Amin', 'Dmin', 'Dmaj', 'Dmin')",2
366,"('Dmaj', 'Dmin', 'Gmin', 'Dmin')",2
623,"('Dmaj', 'Gmaj', 'Cmaj', 'Gmin')",2
545,"('Dmin', 'Gmaj', 'Cmaj', 'Gmaj')",2
625,"('Cmaj', 'Gmin', 'Amin', 'Fmaj')",2
26,"('Gmaj', 'Fmaj', 'Emin', 'Amin')",2
372,"('Fmaj', 'Dmaj', 'Ebmaj', 'Fmaj')",2
526,"('Dmin', 'Cmaj', 'Dmin', 'Cmaj')",2
376,"('Fmaj', 'Bbmaj', 'Fmaj', 'Dmaj')",2
12,"('Amin', 'Emaj', 'Emin', 'Emaj')",2
629,"('Amin', 'Amaj', 'Amin', 'Emin')",2
537,"('Cmaj', 'Fmaj', 'Gmaj', 'Amaj')",2
2,"('Gmaj', 'Cmaj', 'Gmin', 'Cmaj')",2
357,"('Emaj', 'Fmaj', 'Gmaj', 'Amin')",2
547,"('Bbmaj', 'Fmaj', 'Gmaj', 'Abmaj')",2
45,"('Dmin', 'Dmaj', 'Gmaj', 'Dmin')",2
335,"('Dmin', 'Gmaj', 'Dmaj', 'Dmin')",2
